url,Auteur,Sujet,Date & heure,Message
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,,Posté le 13/10/2016 à 11:17:41,"Merci pour le lien. Je connais ce numéro, le 3020 
Aide toi et Dieu t'aidera.
L'établissement scolaire minimise les faits, reporte la faute à mon fils d'avoir commencé le conflit après de faux témoignages, et ne prennent comme d'habitude pas les mesures qu'il faut.
Porter plainte : c'est fait, auprès des flics contre le jeune. Je n'ai pas encore envoyé de courrier à l'académie. Juste signalé par oral il y a une semaine au 3020 et le référant harcèlement académie doit encore me contacter. En France, comme d'hab, on attend qu'il y ait des drames, des morts, et encore là, on ne bougera pas son cul. Faut pas rêver !
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Nic544y,,Posté le 14/10/2016 à 12:13:23,"fouduchaton a écrit :
Julie, se défendre et taper sur quelqu'un parce qu'il a un comportement inadapté ne sont pas la même chose.
Afficher plus
Afficher moins
ce que tu n'as toujours pas l'air de comprendre. c'est que ces gens ne comprennent que ça. Et je te signal que sur un autre post, tu as dis que c'était bien d'apprendre les art martiaux pour se défendre...il faudrait savoir.
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Nic544y,,Posté le 14/10/2016 à 12:18:38,"Thymus38 a écrit :
Merci pour le lien. Je connais ce numéro, le 3020 
Aide toi et Dieu t'aidera.
L'établissement scolaire minimise les faits, reporte la faute à mon fils d'avoir commencé le conflit après de faux témoignages, et ne prennent comme d'habitude pas les mesures qu'il faut.
Porter plainte : c'est fait, auprès des flics contre le jeune. Je n'ai pas encore envoyé de courrier à l'académie. Juste signalé par oral il y a une semaine au 3020 et le référant harcèlement académie doit encore me contacter. En France, comme d'hab, on attend qu'il y ait des drames, des morts, et encore là, on ne bougera pas son cul. Faut pas rêver !
Afficher plus
Afficher moins
Incroyable, je pensais que ces gens agiraient plus vite ! 
Ils nous passent sur une chaîne nationale un téléfilm sur une fille qui s'est suicidée à cause de ça, parle du harcèlement, nous font croire qu'ils mettent en place des moyens pour aider les gens harcelés, mais en fait ce n'est pas très efficace...Ils se moquent vraiment de nous 
enfin remarquez, ils ne parlent du harcèlement qu'une fois par an 
en ce qui concerne la réaction des profs et proviseur vis à vis de votre fils, j'y ai également eu droit. Car oui, j'ai également été harcelée, cela à durer deux ans au collège. Et c'était de ma faute selon la CPE, le proviseur m'a reçu, ma mère et moi, pour nous parler de tout sauf de mes problèmes 
La prof principale n'a également rien fait.
et en ce qui concerne les flics, qu'ont ils dit ?"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,fouduchato​n; fouduchato​n,,Posté le 14/10/2016 à 18:33:39,"Pour se défendre, pas pour récupérer son mec. Ici il s'agit bien de défense face à une agression physique.
Citation :
Incroyable, je pensais que ces gens agiraient plus vite ! 
Ils nous passent sur une chaîne nationale un téléfilm sur une fille qui s'est suicidée à cause de ça, parle du harcèlement, nous font croire qu'ils mettent en place des moyens pour aider les gens harcelés, mais en fait ce n'est pas très efficace...Ils se moquent vraiment de nous 
enfin remarquez, ils ne parlent du harcèlement qu'une fois par an 
en ce qui concerne la réaction des profs et proviseur vis à vis de votre fils, j'y ai également eu droit. Car oui, j'ai également été harcelée, cela à durer deux ans au collège. Et c'était de ma faute selon la CPE, le proviseur m'a reçu, ma mère et moi, pour nous parler de tout sauf de mes problèmes 
La prof principale n'a également rien fait.
Ca ne m'étonne pas, malheureusement. J'ai passé 1 an à l'iufm, et si tu avais vu la brochette de neuneues qu'on avait et leur culture de l'excuse...Les pôôôôôvres agresseurs sont des victimes de la société tu comprends..."
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,,Posté le 15/10/2016 à 15:53:29,"Comment donner des coups, le Krav Maga qu'il a heureusement repris hier et aujourd'hui il est en déprime, ne va pas lui servir dans l'immédiat.
Il n'a pas besoin d'avoir peur d'un grand gaillard à fleur de peau, ou d'un groupe de petits jaloux, il ne peut avoir peur que de lui même.
Après un an de terreur et la peur au ventre de crever le gamin n'a toujours pas compris que quand il y a insultes, on stoppe. On dénonce. Une fois, deux fois, plusieurs fois par jour s'il faut. Il y a des adultes, censés protéger,s urveiller, encadrer nos enfants. Mais le gamin n'a pas intégrer et rebelote, escalade devant un gamin désequilibré et en plein cours. Pas sûr qu'il y ait compris.
Hier on a parlé, je lui ai cité les couleurs et ce qu'elles évoquaient pour lui. Le noir, le gris, n'en parlons pas. Le bleu, qu'il aimait bien, c'était la déprime aussi, surtout le bleu marine. Le vert qui lui rappelait, l'herbe dehors la nature, il m'a écrit démotivation totale, le rose le violet ce sont quand même des couleurs plus douces eh ben ça ne lui évoquait que le choc d'une manière nuancée pour chaque teinte. Le tableau est noir !
Mais le jaune, seule couleur positive du tableau, lui rappelle le soleil, l'envie de se promener ..."
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Akouma1695; Akouma1695,,Posté le 15/10/2016 à 16:53:05,"Bonjour,
Il existe l'association Phare parenst enfants au 0810810987 ET filsantéjeunes forum et 3224 pour les appeler
aller voir le site
si c'est trop dur, changer le d'établissement et surtout mettez en place un soutien psychologique pour l'aider à reprendre confiance en lui (psy qui pratique EFT, matrix, emdr ou hypnose)
ils peuvent aussi vous orienter sur une maison des adolescents pour un soutien psychologique;
Sauvez votre fils, je n'ai pas réussi à sauver ma fille ...
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Nic544y,,Posté le 15/10/2016 à 19:29:31,"et en attendant qu'il soit sauver de ces ravisseurs, il ne doit pas se laisser faire..les envoyer promener, et si ça ne suffit pas...passer à l'étape physique qui consiste en une jolie claque ou un coup dans les parties.
Mais effectivement il faut agir vite, dès que l'enfant en parle, aller porter plainte auprès du proviseur (qui ne fera rien, mais c'est la procédure à suivre) et chez les flics...et oui, le changer d'établissement ou cours à domicile si vous le pouvez."
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Sylvaindu6​4,,Posté le 16/10/2016 à 22:56:15,"Chaque cas est particulier et chaque cas a ses solution. Dans la vie tout est un rapport de force, que sa soit dans la vie intime et professionnel. Le plus dur est de se fixer des limites. Tous les problème de le vie sont lié a ce rapport de force qui est déséquilibrer entre deux ou des individus.
La preuve, cet individu harcèle votre enfant parce qu'il mesure un 1m83, si il serait de la même taille que votre fils il le ferait pas. De plus votre fils ne se défend pas, si il se defender il arrêterai aussi. Il n'y as pas 36 000 solutions dans son cas. Votre fils n'a pas les atouts physique nécessaire pour l'affronter. Donc pas le choix, il doit liguer ces camarades contre lui, lui donner une leçon physique (à éviter de préférence) ou moral (le rejeté) mais attention comme j'ai dit au début il faut se fixer des limites il ne faut pas devenir ensuite le persécuteur. Si il va voir le psy, il a du voir le triangle dramatique:
Victime
Soi-même
Persécuteur Sauveur
Ce schéma veut dire qu'une victime peu passer persécuteur, sauveur et ainsi de suite. Et le but c'est d'être au milieu.
Vraiment le psy aide pas mal mais tant qu'il peut être utile. Il faut qu'il en voit un
Je pense que c'est pas clair ce que j'ai dit donc j'arrête la 
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,,Posté le 17/10/2016 à 14:25:54,"Akouma1695 a écrit :
Bonjour,
Il existe l'association Phare parenst enfants au 0810810987 ET filsantéjeunes forum et 3224 pour les appeler
aller voir le site
si c'est trop dur, changer le d'établissement et surtout mettez en place un soutien psychologique pour l'aider à reprendre confiance en lui (psy qui pratique EFT, matrix, emdr ou hypnose)
ils peuvent aussi vous orienter sur une maison des adolescents pour un soutien psychologique;
Sauvez votre fils, je n'ai pas réussi à sauver ma fille ...
Afficher plus
Afficher moins
Bonjour Akouma,
Votre message m'a touchée, droit au coeur. C'est oui, surtout aux enfants qui ne sont plus là, que je pense depuis le début de l'année scolaire, et depuis cette agression, fraisse émilie ... il y en a...et leurs témoignages me bouleversent. Vos pistes, je les note, même s'il est en ce moment bien encadré, on sait jamais...merci Akouma !"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,,Posté le 17/10/2016 à 14:34:22,"L'année dernière, mon fils a vécu un harcèlement dû aux jalousies. Bien vu, apprécié, deux jeunes ont été jaloux et ont profité de leurs avantages (être en groupe, fort en art martial,..) pour le terroriser. La petite copine, le meilleur ami, .. ont continué à rester avec mon fils, ils n'ont pas supporté.
Cette année, c'était un nouveau élève, ils étaient potes, il n'y avait pas harcèlement, le jeune n'a pas supporté une réflexion de sa part, il l'a insulté, mon fils a supporté, l'autre l'a tabassé
Deux cas de figures complètement différentes.
Conclusion : dans les deux cas de figures, il y a eu escalade. L'année dernière avant les coups, il y a eu insultes. Aux insultes, si mon gamin aurait dénoncé les faits, il n'aurait pas souffert de la sorte.
Donc, il ne peut qu'avoir peur de lui même. S'il n'a toujours pas compris la leçon, celle de dénoncer les faits, je ne sais pas si je le retrouverai vivant la prochaine fois. Car là, il l'a échappé belle et l'école comme la mère de l'agresseur, sont d'accord avec ça.
A lui d'apprendre ! Et un changement d'établissement ne résoudra pas ce problème. PARLER ! DENONCER !"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,fouduchato​n; fouduchato​n,,Posté le 19/10/2016 à 12:32:25,"Citation :
Dans la vie tout est un rapport de force, que sa soit dans la vie intime et professionnel.
Rapport hiérarchique, pas rapport de force. Cf Foucault (le philosophe, pas le présentateur).
Citation :
La preuve, cet individu harcèle votre enfant parce qu'il mesure un 1m83, si il serait de la même taille que votre fils il le ferait pas.
Ca, on n'en sait rien.
Citation :
Votre fils n'a pas les atouts physique nécessaire pour l'affronter.
Rien à voir avec le physique, n'importe qui peut battre n'importe qui, c'est une question de caractère, de conviction, d'initiative.
J'ai déjà vu au collège un nabot castagner une grande asperge, il lui avait d'ailleurs grimpé dessus pour le toucher au visage.
Citation :
A lui d'apprendre ! Et un changement d'établissement ne résoudra pas ce problème.
Chaque cas est différent et effectivement le problème PEUT se représenter dans un autre établissement, mais pas nécessairement. Il est aussi possible que ton fils apprenne à mieux anticiper les problèmes mais que sur place il ne parvienne pas à se sortir de la situation. Auquel cas un changement d'établissement lui permettrait d'endosser un nouveau rôle s'il n'arrive pas à quitter celui qu'il a déjà endossé dans cet établissement.
En tout cas ça a fonctionné pour moi. Mais ce n'est bien sûr pas la seule solution, il y a toujours moyen de s'en sortir.
Citation :
Car là, il l'a échappé belle et l'école comme la mère de l'agresseur, sont d'accord avec ça.
J'espère au moins que sa mère a été particulièrement dure avec lui..."
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Nic544y,,Posté le 19/10/2016 à 20:16:22,"Sylvaindu64 a écrit :
Chaque cas est particulier et chaque cas a ses solution. Dans la vie tout est un rapport de force, que sa soit dans la vie intime et professionnel. Le plus dur est de se fixer des limites. Tous les problème de le vie sont lié a ce rapport de force qui est déséquilibrer entre deux ou des individus.
La preuve, cet individu harcèle votre enfant parce qu'il mesure un 1m83, si il serait de la même taille que votre fils il le ferait pas. De plus votre fils ne se défend pas, si il se defender il arrêterai aussi. Il n'y as pas 36 000 solutions dans son cas. Votre fils n'a pas les atouts physique nécessaire pour l'affronter. Donc pas le choix, il doit liguer ces camarades contre lui, lui donner une leçon physique (à éviter de préférence) ou moral (le rejeté) mais attention comme j'ai dit au début il faut se fixer des limites il ne faut pas devenir ensuite le persécuteur. Si il va voir le psy, il a du voir le triangle dramatique:
Victime
Soi-même
Persécuteur Sauveur
Ce schéma veut dire qu'une victime peu passer persécuteur, sauveur et ainsi de suite. Et le but c'est d'être au milieu.
Vraiment le psy aide pas mal mais tant qu'il peut être utile. Il faut qu'il en voit un
Je pense que c'est pas clair ce que j'ai dit donc j'arrête la 
Afficher plus
Afficher moins
Mais il faut se défendre face à un persécuteur"
